Mes,Zonal,Provincia,Sucursal,Oficina,Tipo de cuenta,Saldo,No Cuentas,No Clientes
may-16,MATRIZ,PICHINCHA,MATRIZ,MATRIZ,DPF,298292310.21,4,2
may-16,ZONAL CUENCA,AZUAY,CUENCA,CAMILO PONCE E. (AG.),Ahorro,881222.16,3021,3012
may-16,ZONAL CUENCA,AZUAY,CUENCA,CAMILO PONCE E. (AG.),Corriente,214778.93,91,88
may-16,ZONAL CUENCA,AZUAY,CUENCA,CAMILO PONCE E. (AG.),DPF,91275.84,7,7
may-16,ZONAL CUENCA,AZUAY,CUENCA,CUENCA,Ahorro,4314317.89,17348,17282
may-16,ZONAL CUENCA,AZUAY,CUENCA,CUENCA,Corriente,2539437.61,396,367
may-16,ZONAL CUENCA,AZUAY,CUENCA,CUENCA,DPF,1922639.55,113,96
may-16,ZONAL CUENCA,AZUAY,CUENCA,GIRON (AG.),Ahorro,1444700.21,3493,3453
may-16,ZONAL CUENCA,AZUAY,CUENCA,GIRON (AG.),Corriente,253909.00,69,69
may-16,ZONAL CUENCA,AZUAY,CUENCA,GIRON (AG.),DPF,1810807.00,105,84
may-16,ZONAL CUENCA,AZUAY,CUENCA,GUALACEO,Ahorro,1187199.47,8625,8414
may-16,ZONAL CUENCA,AZUAY,CUENCA,GUALACEO,Corriente,79473.95,132,124
may-16,ZONAL CUENCA,AZUAY,CUENCA,GUALACEO,DPF,413601.40,36,26
may-16,ZONAL CUENCA,AZUAY,CUENCA,PAUTE,Ahorro,880080.67,4917,4883
may-16,ZONAL CUENCA,AZUAY,CUENCA,PAUTE,Corriente,157629.35,122,118
may-16,ZONAL CUENCA,AZUAY,CUENCA,PAUTE,DPF,247734.65,23,18
may-16,ZONAL CUENCA,AZUAY,CUENCA,SANTA ISABEL (AG.),Ahorro,1268470.18,2522,2516
may-16,ZONAL CUENCA,AZUAY,CUENCA,SANTA ISABEL (AG.),Corriente,255879.01,84,72
may-16,ZONAL CUENCA,AZUAY,CUENCA,SANTA ISABEL (AG.),DPF,433000.00,6,5
may-16,ZONAL CUENCA,CANAR,AZOGUES,AZOGUES,Ahorro,5403475.49,10510,10382
may-16,ZONAL CUENCA,CANAR,AZOGUES,AZOGUES,Corriente,478706.51,218,205
may-16,ZONAL CUENCA,CANAR,AZOGUES,AZOGUES,DPF,6934139.70,344,289
may-16,ZONAL CUENCA,CANAR,AZOGUES,BIBLIAN (OE.),Ahorro,563439.93,1801,1791
may-16,ZONAL CUENCA,CANAR,AZOGUES,BIBLIAN (OE.),Corriente,32429.86,29,29
may-16,ZONAL CUENCA,CANAR,AZOGUES,BIBLIAN (OE.),DPF,648752.55,58,54
may-16,ZONAL CUENCA,CANAR,AZOGUES,CANAR (AG.),Ahorro,3192117.12,9475,9347
may-16,ZONAL CUENCA,CANAR,AZOGUES,CANAR (AG.),Corriente,137183.44,91,73
may-16,ZONAL CUENCA,CANAR,AZOGUES,CANAR (AG.),DPF,3104961.63,109,101
may-16,ZONAL CUENCA,CANAR,AZOGUES,LA TRONCAL (AG.),Ahorro,1171550.79,8359,8122
may-16,ZONAL CUENCA,CANAR,AZOGUES,LA TRONCAL (AG.),Corriente,288913.45,214,211
may-16,ZONAL CUENCA,CANAR,AZOGUES,LA TRONCAL (AG.),DPF,380840.09,19,17
may-16,ZONAL CUENCA,MORONA SANTIAGO,MACAS,GUALAQUIZA,Ahorro,1210422.42,7917,7894
may-16,ZONAL CUENCA,MORONA SANTIAGO,MACAS,GUALAQUIZA,Corriente,203055.04,237,228
may-16,ZONAL CUENCA,MORONA SANTIAGO,MACAS,GUALAQUIZA,DPF,354663.33,17,16
may-16,ZONAL CUENCA,MORONA SANTIAGO,MACAS,LIMON INDANZA (AG.),Ahorro,1348721.74,4527,4512
may-16,ZONAL CUENCA,MORONA SANTIAGO,MACAS,LIMON INDANZA (AG.),Corriente,165288.51,106,96
may-16,ZONAL CUENCA,MORONA SANTIAGO,MACAS,LIMON INDANZA (AG.),DPF,397837.40,25,25
may-16,ZONAL CUENCA,MORONA SANTIAGO,MACAS,MACAS,Ahorro,2279418.87,15112,15001
may-16,ZONAL CUENCA,MORONA SANTIAGO,MACAS,MACAS,Corriente,400966.59,218,209
may-16,ZONAL CUENCA,MORONA SANTIAGO,MACAS,MACAS,DPF,221350.00,15,15
may-16,ZONAL CUENCA,MORONA SANTIAGO,MACAS,MENDEZ (AG.),Ahorro,761175.11,4024,3975
may-16,ZONAL CUENCA,MORONA SANTIAGO,MACAS,MENDEZ (AG.),Corriente,158297.85,94,93
may-16,ZONAL CUENCA,MORONA SANTIAGO,MACAS,MENDEZ (AG.),DPF,229400.00,14,13
may-16,ZONAL CUENCA,MORONA SANTIAGO,MACAS,PABLO SEXTO (AG.),Ahorro,176532.65,2159,2141
may-16,ZONAL CUENCA,MORONA SANTIAGO,MACAS,PABLO SEXTO (AG.),Corriente,2891.05,10,8
may-16,ZONAL CUENCA,MORONA SANTIAGO,MACAS,PALORA (AG.),Ahorro,1152593.27,3391,3320
may-16,ZONAL CUENCA,MORONA SANTIAGO,MACAS,PALORA (AG.),Corriente,141423.58,90,83
may-16,ZONAL CUENCA,MORONA SANTIAGO,MACAS,PALORA (AG.),DPF,356148.88,20,19
may-16,ZONAL CUENCA,MORONA SANTIAGO,MACAS,SUCUA (AG.),Ahorro,1236437.18,6405,6335
may-16,ZONAL CUENCA,MORONA SANTIAGO,MACAS,SUCUA (AG.),Corriente,151560.90,133,122
may-16,ZONAL CUENCA,MORONA SANTIAGO,MACAS,SUCUA (AG.),DPF,783725.00,49,42
may-16,ZONAL CUENCA,MORONA SANTIAGO,MACAS,TAISHA (OE.),Ahorro,167753.48,1880,1871
may-16,ZONAL CUENCA,MORONA SANTIAGO,MACAS,TAISHA (OE.),Corriente,2736.91,18,9
may-16,ZONAL CUENCA,MORONA SANTIAGO,MACAS,TIWINTZA (OE.),Ahorro,139294.11,2218,2206
may-16,ZONAL CUENCA,MORONA SANTIAGO,MACAS,TIWINTZA (OE.),Corriente,17889.94,14,10
may-16,ZONAL CUENCA,MORONA SANTIAGO,MACAS,TIWINTZA (OE.),DPF,2000.00,4,4
may-16,ZONAL GUAYAQUIL,BOLIVAR,GUARANDA,CALUMA (AG.),Ahorro,1185163.49,4996,4969
may-16,ZONAL GUAYAQUIL,BOLIVAR,GUARANDA,CALUMA (AG.),Corriente,78224.12,80,79
may-16,ZONAL GUAYAQUIL,BOLIVAR,GUARANDA,CALUMA (AG.),DPF,157673.50,10,10
may-16,ZONAL GUAYAQUIL,BOLIVAR,GUARANDA,CHILLANES (AG.),Ahorro,579325.74,3385,3376
may-16,ZONAL GUAYAQUIL,BOLIVAR,GUARANDA,CHILLANES (AG.),Corriente,22356.81,33,27
may-16,ZONAL GUAYAQUIL,BOLIVAR,GUARANDA,CHILLANES (AG.),DPF,41657.75,11,11
may-16,ZONAL GUAYAQUIL,BOLIVAR,GUARANDA,ECHEANDIA (AG.),Ahorro,1985162.22,5715,5652
may-16,ZONAL GUAYAQUIL,BOLIVAR,GUARANDA,ECHEANDIA (AG.),Corriente,807045.27,114,110
may-16,ZONAL GUAYAQUIL,BOLIVAR,GUARANDA,ECHEANDIA (AG.),DPF,327242.31,32,26
may-16,ZONAL GUAYAQUIL,BOLIVAR,GUARANDA,GUARANDA,Ahorro,5362074.36,19578,19533
may-16,ZONAL GUAYAQUIL,BOLIVAR,GUARANDA,GUARANDA,Corriente,1070076.81,280,254
may-16,ZONAL GUAYAQUIL,BOLIVAR,GUARANDA,GUARANDA,DPF,675047.92,66,60
may-16,ZONAL GUAYAQUIL,BOLIVAR,GUARANDA,LAS NAVES,Ahorro,562373.82,1646,1645
may-16,ZONAL GUAYAQUIL,BOLIVAR,GUARANDA,LAS NAVES,Corriente,16637.03,31,31
may-16,ZONAL GUAYAQUIL,BOLIVAR,GUARANDA,LAS NAVES,DPF,12000.00,3,3
