Mes,Zonal,Provincia,Sucursal,Oficina,Tipo de cartera,Saldo de Cartera, No Operaciones , No Clientes ,Cartera Vencida,Cartera por Vencer,Cartera NDI, No Operaciones Vencidas ,Cartera improductiva
may-16,ZONAL CUENCA,AZUAY,AZOGUES,AZOGUES,MICROEMPRESA,6529.71,5,3,0,6529.71,0,     ,0
may-16,ZONAL CUENCA,AZUAY,AZOGUES,LA TRONCAL (AG.),COMERCIAL,221785.72,2,1,0,221785.72,0,     ,0
may-16,ZONAL CUENCA,AZUAY,AZOGUES,LA TRONCAL (AG.),MICROEMPRESA,413159.54,56,25,0,413159.54,0,     ,0
may-16,ZONAL CUENCA,AZUAY,CUENCA,CAMILO PONCE E. (AG.),COMERCIAL,640317.09,48,24,0,640317.09,0,     ,0
may-16,ZONAL CUENCA,AZUAY,CUENCA,CAMILO PONCE E. (AG.),MICROEMPRESA,3206181.8,854,411,29021,3032423.05,144737.75,3,173758.75
may-16,ZONAL CUENCA,AZUAY,CUENCA,CUENCA,COMERCIAL,8069752.25,269,119,37200.1,7389365.98,643186.17,     ,680386.27
may-16,ZONAL CUENCA,AZUAY,CUENCA,CUENCA,COMERCIAL REESTRUCTURADO,10312.5,2,1,0,10312.5,0,     ,0
may-16,ZONAL CUENCA,AZUAY,CUENCA,CUENCA,MICROEMPRESA,16972018,5849,2892,139130.93,15952268.61,880618.46,22,1019749.39
may-16,ZONAL CUENCA,AZUAY,CUENCA,CUENCA,MICROEMPRESA REESTRUCTURADA,114342.68,15,8,293.64,114049.04,0,1,293.64
may-16,ZONAL CUENCA,AZUAY,CUENCA,GIRON (AG.),COMERCIAL,2412415.52,94,46,4,2412411.52,0,     ,4
may-16,ZONAL CUENCA,AZUAY,CUENCA,GIRON (AG.),COMERCIAL REESTRUCTURADO,159667.56,6,3,2,159665.56,0,     ,2
may-16,ZONAL CUENCA,AZUAY,CUENCA,GIRON (AG.),CONSUMO,2582.64,4,2,1999,0,583.64,2,2582.64
may-16,ZONAL CUENCA,AZUAY,CUENCA,GIRON (AG.),MICROEMPRESA,8131744.13,1550,724,68066.9,7779513.14,284164.09,12,352230.99
may-16,ZONAL CUENCA,AZUAY,CUENCA,GIRON (AG.),MICROEMPRESA REESTRUCTURADA,7744.64,2,1,0,7744.64,0,     ,0
may-16,ZONAL CUENCA,AZUAY,CUENCA,GUALACEO,COMERCIAL,1409881.72,104,51,10942.04,1386432.94,12506.74,     ,23448.78
may-16,ZONAL CUENCA,AZUAY,CUENCA,GUALACEO,COMERCIAL REESTRUCTURADO,303408.14,10,5,278.78,300084.86,3044.5,     ,3323.28
may-16,ZONAL CUENCA,AZUAY,CUENCA,GUALACEO,MICROEMPRESA,13633698.27,3569,1688,88435.2,12927301.5,617961.57,28,706396.77
may-16,ZONAL CUENCA,AZUAY,CUENCA,GUALACEO,MICROEMPRESA REESTRUCTURADA,35439.84,20,10,273.46,32621.06,2545.32,     ,2818.78
may-16,ZONAL CUENCA,AZUAY,CUENCA,PAUTE,COMERCIAL,2203969.71,86,44,6181,2148388.71,49400,     ,55581
may-16,ZONAL CUENCA,AZUAY,CUENCA,PAUTE,MICROEMPRESA,12817552.13,2137,968,64160.28,12419338.88,334052.97,11,398213.25
may-16,ZONAL CUENCA,AZUAY,CUENCA,PAUTE,MICROEMPRESA REESTRUCTURADA,56185.74,18,9,1789.06,49319.15,5077.53,     ,6866.59
may-16,ZONAL CUENCA,AZUAY,CUENCA,SANTA ISABEL (AG.),MICROEMPRESA,4265557.83,1160,565,32827.71,4082202.14,150527.98,5,183355.69
may-16,ZONAL CUENCA,AZUAY,CUENCA,SANTA ISABEL (AG.),MICROEMPRESA REESTRUCTURADA,7001.7,4,2,0,7001.7,0,     ,0
may-16,ZONAL CUENCA,AZUAY,MACAS,GUALAQUIZA,MICROEMPRESA,7653.21,2,1,0,7653.21,0,     ,0
may-16,ZONAL CUENCA,AZUAY,MACAS,LIMON INDANZA (AG.),MICROEMPRESA,5762.9,6,3,0,5762.9,0,     ,0
may-16,ZONAL CUENCA,AZUAY,MACAS,MENDEZ (AG.),MICROEMPRESA,24275,3,2,0,24275,0,     ,0
may-16,ZONAL CUENCA,CANAR,AZOGUES,AZOGUES,COMERCIAL,3807783.16,231,102,51.47,3803981.69,3750,     ,3801.47
may-16,ZONAL CUENCA,CANAR,AZOGUES,AZOGUES,CONSUMO,8548.7,6,3,0,8548.7,0,     ,0
may-16,ZONAL CUENCA,CANAR,AZOGUES,AZOGUES,MICROEMPRESA,14447457.92,3592,1733,41739,14065891.88,339827.04,5,381566.04
may-16,ZONAL CUENCA,CANAR,AZOGUES,AZOGUES,MICROEMPRESA REESTRUCTURADA,100979.74,4,2,0,100979.74,0,     ,0
may-16,ZONAL CUENCA,CANAR,AZOGUES,BIBLIAN (OE.),MICROEMPRESA,27903.84,86,43,0,27903.84,0,     ,0
may-16,ZONAL CUENCA,CANAR,AZOGUES,CANAR (AG.),COMERCIAL,5188264.48,160,75,10897.55,5084581.33,92785.6,     ,103683.15
