Mes,Region,Zonal,Provincia,Sucursal,Oficina,Tipo de cartera,Tipo de producto,Tipo de prestamo, Monto entregado ,Numero de operaciones,No Clientes
may-16,,ZONAL CUENCA,AZUAY,AZOGUES,AZOGUES,MICROEMPRESA,MICROCREDITO DE DESARROLLO HUM,BONO DE DESARROLLO HUMANO,1133.99,1,1
may-16,,ZONAL CUENCA,AZUAY,CUENCA,CAMILO PONCE E. (AG.),MICROEMPRESA,MICROCREDITO DE DESARROLLO HUM,BONO DE DESARROLLO HUMANO,1742.88,3,3
may-16,,ZONAL CUENCA,AZUAY,CUENCA,CAMILO PONCE E. (AG.),MICROEMPRESA,MICROCREDITO DESARROLLO HUMANO,BONO DE DESARROLLO HUMANO,3154.08,6,6
may-16,,ZONAL CUENCA,AZUAY,CUENCA,CUENCA,MICROEMPRESA,CREDITO MICROEMPRESA,PECUARIO,9000,1,1
may-16,,ZONAL CUENCA,AZUAY,CUENCA,CUENCA,MICROEMPRESA,CREDITO MICROEMPRESA,SERVICIOS,10000,1,1
may-16,,ZONAL CUENCA,AZUAY,CUENCA,CUENCA,MICROEMPRESA,MICROCREDITO DE DESARROLLO HUM,BONO DE DESARROLLO HUMANO,15685.92,27,27
may-16,,ZONAL CUENCA,AZUAY,CUENCA,CUENCA,MICROEMPRESA,MICROCREDITO DESARROLLO HUMANO,BONO DE DESARROLLO HUMANO,5256.8,10,10
may-16,,ZONAL CUENCA,AZUAY,CUENCA,CUENCA,MICROEMPRESA,MOCROCREDITO DESARROLLO HUMANO,BONO DE DESARROLLO HUMANO,28720.44,28,28
may-16,,ZONAL CUENCA,AZUAY,CUENCA,GIRON (AG.),MICROEMPRESA,CREDITO MICROEMPRESA,PECUARIO,30000,4,4
may-16,,ZONAL CUENCA,AZUAY,CUENCA,GIRON (AG.),MICROEMPRESA,MICROCREDITO DE DESARROLLO HUM,BONO DE DESARROLLO HUMANO,2323.84,4,4
may-16,,ZONAL CUENCA,AZUAY,CUENCA,GIRON (AG.),MICROEMPRESA,MICROCREDITO DESARROLLO HUMANO,BONO DE DESARROLLO HUMANO,1051.36,2,2
may-16,,ZONAL CUENCA,AZUAY,CUENCA,GUALACEO,MICROEMPRESA,CREDITO MICROEMPRESA,PECUARIO,10000,1,1
may-16,,ZONAL CUENCA,AZUAY,CUENCA,GUALACEO,MICROEMPRESA,MICROCREDITO DE DESARROLLO HUM,BONO DE DESARROLLO HUMANO,5228.64,9,9
may-16,,ZONAL CUENCA,AZUAY,CUENCA,GUALACEO,MICROEMPRESA,MICROCREDITO DESARROLLO HUMANO,BONO DE DESARROLLO HUMANO,1051.36,2,2
may-16,,ZONAL CUENCA,AZUAY,CUENCA,PAUTE,COMERCIAL,CREDITO COMERCIAL PRIORITARIO,AGRICOLA,25000,1,1
may-16,,ZONAL CUENCA,AZUAY,CUENCA,PAUTE,MICROEMPRESA,MICROCREDITO DE DESARROLLO HUM,BONO DE DESARROLLO HUMANO,1161.92,2,2
may-16,,ZONAL CUENCA,AZUAY,CUENCA,PAUTE,MICROEMPRESA,MICROCREDITO DESARROLLO HUMANO,BONO DE DESARROLLO HUMANO,525.68,1,1
may-16,,ZONAL CUENCA,AZUAY,CUENCA,SANTA ISABEL (AG.),MICROEMPRESA,MICROCREDITO DE DESARROLLO HUM,BONO DE DESARROLLO HUMANO,2323.84,4,4
may-16,,ZONAL CUENCA,AZUAY,CUENCA,SANTA ISABEL (AG.),MICROEMPRESA,MICROCREDITO DESARROLLO HUMANO,BONO DE DESARROLLO HUMANO,2102.72,4,4
may-16,,ZONAL CUENCA,CANAR,AZOGUES,AZOGUES,MICROEMPRESA,CREDITO MICROEMPRESA,COMERCIO,14400,1,1
may-16,,ZONAL CUENCA,CANAR,AZOGUES,AZOGUES,MICROEMPRESA,CREDITO MICROEMPRESA,PECUARIO,15000,2,2
may-16,,ZONAL CUENCA,CANAR,AZOGUES,AZOGUES,MICROEMPRESA,MICROCREDITO CRECIMIENTO SETED,ARTESANAL,10432,1,1
may-16,,ZONAL CUENCA,CANAR,AZOGUES,AZOGUES,MICROEMPRESA,MICROCREDITO DE DESARROLLO HUM,BONO DE DESARROLLO HUMANO,45968.49,42,42
may-16,,ZONAL CUENCA,CANAR,AZOGUES,AZOGUES,MICROEMPRESA,MICROCREDITO DESARROLLO HUMANO,BONO DE DESARROLLO HUMANO,525.68,1,1
may-16,,ZONAL CUENCA,CANAR,AZOGUES,AZOGUES,MICROEMPRESA,MOCROCREDITO DESARROLLO HUMANO,BONO DE DESARROLLO HUMANO,7180.11,7,7
may-16,,ZONAL CUENCA,CANAR,AZOGUES,CANAR (AG.),MICROEMPRESA,CREDITO MICROEMPRESA,PECUARIO,77000,6,6
may-16,,ZONAL CUENCA,CANAR,AZOGUES,CANAR (AG.),MICROEMPRESA,MICROCREDITO DE DESARROLLO HUM,BONO DE DESARROLLO HUMANO,18339.35,23,23
may-16,,ZONAL CUENCA,CANAR,AZOGUES,CANAR (AG.),MICROEMPRESA,MICROCREDITO DESARROLLO HUMANO,BONO DE DESARROLLO HUMANO,3679.76,7,7
