PROVINCIA,TIPO DE CREDITO, MONTO OTORGADO ,TIPO CREDITO
AZUAY,COMERCIAL ORDINARIO,95360436.04,COMERCIAL
AZUAY,COMERCIAL PRIORITARIO CORPORATIVO,735675573.2,COMERCIAL
AZUAY,COMERCIAL PRIORITARIO EMPRESARIAL,133045713.9,COMERCIAL
AZUAY,COMERCIAL PRIORITARIO PYMES,122201132.6,COMERCIAL
AZUAY,CONSUMO ORDINARIO,6405398.01,CONSUMO
AZUAY,CONSUMO PRIORITARIO,92436793.08,CONSUMO
AZUAY,EDUCATIVO,4101225.79,EDUCATIVO
AZUAY,INMOBILIARIO,46173765.25,INMOBILIARIO
AZUAY,INVERSION PUBLICA,2382923.18,INVERSION PUBLICA
AZUAY,MICROCREDITO DE ACUMULACION AMPLIADA,21538224.54,MICROCREDITO
AZUAY,MICROCREDITO DE ACUMULACION SIMPLE,30212649.37,MICROCREDITO
AZUAY,MICROCREDITO MINORISTA,884552.72,MICROCREDITO
AZUAY,PRODUCTIVO CORPORATIVO,69423041.23,PRODUCTIVO
AZUAY,PRODUCTIVO EMPRESARIAL,10229680.26,PRODUCTIVO
AZUAY,PRODUCTIVO PYMES,6096641.62,PRODUCTIVO
AZUAY,VIVIENDA INTERES PUBLICO,12272559.12,VIVIENDA INTERES PUBLICO
BOLIVAR,COMERCIAL PRIORITARIO CORPORATIVO,322850,COMERCIAL
BOLIVAR,COMERCIAL PRIORITARIO EMPRESARIAL,816366.11,COMERCIAL
BOLIVAR,COMERCIAL PRIORITARIO PYMES,2407204.47,COMERCIAL
BOLIVAR,CONSUMO ORDINARIO,319925.31,CONSUMO
BOLIVAR,CONSUMO PRIORITARIO,10806030.83,CONSUMO
BOLIVAR,EDUCATIVO,128933.37,EDUCATIVO
BOLIVAR,INMOBILIARIO,1669331.51,INMOBILIARIO
BOLIVAR,INVERSION PUBLICA,5768881.5,INVERSION PUBLICA
BOLIVAR,MICROCREDITO DE ACUMULACION AMPLIADA,12316957.79,MICROCREDITO
BOLIVAR,MICROCREDITO DE ACUMULACION SIMPLE,23122436.56,MICROCREDITO
